,Coffee no. (of day),Weight,Bloom,hot water amount,Brew length (s),Amount hot water after,Time since roasted (days),Rating /10
1:00 PM,2,8,1,90,47,50,730,6
9:00 AM,1,12,1,120,60,36,730,5
2:00 PM,2,10,1,110,58,53,730,6
9:00 AM,1,14,0,125,57,46,730,8
12:30 PM,2,14,1,130,65,63,730,7
3:00 PM,3,15,0,84,67,135,730,8
12:00 PM,2,13,1,150,40,21,730,6
9:00 AM,1,11,1,112,143,56,730,4
9:30 AM,1,11,1,122,66,34,730,3
9:45 AM,1,10,1,119,91,88,730,5
9:15 AM,1,9,0,135,58,83,730,4
11:00 AM,2,9,1,105,60,43,730,4
8:45 AM,1,7,0,125,74,88,730,6
9:10 AM,1,10,1,144,61,38,6.00,7
11:30 AM,2,12,1,140,51,35,6.00,8
9:00 AM,1,14,0,132,77,78,7.00,7
9:20 AM,1,12,1,160,64,0,8.00,8
12:20 PM,2,18,0,141,150,55,8.00,5
10:00 AM,1,12,1,183,90,0,9.00,4
1:15 PM,2,11,1,60,60,81,9.00,9
10:15 AM,1,14,0,85,84,90,10.00,8
1:30 PM,2,13,1,64,64,81,10.00,7
9:30 AM,1,12,1,109,90,60,14.00,7
9:30 AM,1,12,0,138,121,42,15.00,4
2:00 PM,2,12,1,73,90,67,15.00,6
9:00 AM,1,14,1,100,78,34,16.00,7
11:00 AM,2,13,0,83,77,69,18.00,8
1:45 PM,3,10,0,84,57,82,18.00,5
2:40 PM,3,8,1,100,54,38,19.00,8
12:20 PM,2,12,0,110,83,123,20.00,6
1:30 PM,2,12,1,95,74,80,22.00,7
9:30 AM,1,15,1,128,123,35,24.00,6
9:20 AM,1,11,1,130,76,57,27.00,3
8:20 AM,1,11,1,66,91,99,28.00,6
11:00 AM,2,11,0,121,80,35,29.00,6
8:15 AM,1,13,1,71,70,80,30.00,8
11:00 AM,2,13,1,62,68,85,50.00,8
2:10 PM,3,13,0,117,88,51,50.00,6
8:30 AM,1,12,0,91,71,70,52.00,9
11:00 AM,2,11,0,110,66,55,52.00,7
1:30 PM,2,13,1,67,85,73,4.00,9
9:00 AM,1,14,1,78,82,86,8.00,8
11:00 AM,2,11,1,66,70,81,8.00,7
2:30 PM,3,13,1,134,90,61,8.00,7
1:30 PM,3,14,1,90,161,70,13.00,4
9:00 AM,1,9,1,87,89,66,14.00,8
1:25 PM,2,12,1,81,63,64,17.00,6
9:10 AM,1,13,1,94,106,100,18.00,5
9:30 AM,1,13,1,84,68,120,21.00,8
3:00 PM,3,11,0,101,80,93,24.00,8
11:30 AM,2,13,0,94,58,72,80.00,8
2:15 PM,3,13,1,105,82,65,1.00,9
